,loss,val_loss,reward,epsilon
0,0.7500021052631578,0.6978210526315789,546.8716899999974,0.9
1,21.246183157894738,6.199726315789474,666.3746110000031,0.8
2,12.754875789473685,1.8899873684210524,-544.3652819999966,0.7
3,7.619551578947368,2.4002715789473683,1338.3904780000023,0.6
4,25.244294736842107,27.79437263157894,200.08677899999597,0.51
5,2.524433684210526,1.867324210526316,-134.5223910000118,0.41
6,2.7593915789473686,3.0559810526315787,-24.435461999983968,0.31
7,3.6066989473684212,6.550252631578948,584.4324099999895,0.21
8,3.769343157894737,5.77884,575.756322999995,0.11
9,1.9752694736842105,1.588818947368421,531.0346950000007,0.01
