,Trade,Price,Time
0,BUY,718.174988,1
1,TP,718.174988,2
2,BUY,707.075012,3
3,TP,729.599976,28
4,BUY,765.400024,29
5,TP,765.400024,30
6,BUY,776.174988,31
7,TP,776.174988,32
8,BUY,759.349976,33
9,TP,799.724976,36
10,BUY,812.150024,37
11,TP,812.150024,38
12,BUY,832.400024,39
13,TP,832.400024,40
14,BUY,836.25,41
15,TP,872.875,50
16,BUY,917.2000119999999,51
17,TP,917.2000119999999,52
18,BUY,895.25,53
19,TP,920.0499880000001,70
20,BUY,939.275024,71
21,TP,939.275024,72
22,BUY,940.9500119999999,73
23,TP,997.875,75
24,BUY,972.650024,76
25,SL,983.75,100
26,BUY,1017.099976,101
27,TP,1017.099976,102
28,BUY,1040.550049,103
29,TP,1040.550049,104
30,BUY,1030.199951,105
31,TP,1084.324951,111
32,BUY,1105.375,112
33,TP,1105.375,113
34,BUY,1078.025024,114
35,TP,1129.550049,133
36,BUY,1138.949951,134
37,TP,1138.949951,135
38,BUY,1155.099976,136
39,TP,1155.099976,137
40,BUY,1164.574951,138
41,TP,1215.425049,164
42,BUY,1256.824951,165
43,TP,1256.824951,166
44,BUY,1328.625,167
45,TP,1328.625,168
46,BUY,1283.949951,169
47,TP,1283.949951,170
48,BUY,1255.800049,171
49,TP,1290.199951,173
50,BUY,1321.974976,174
51,TP,1379.199951,182
52,BUY,1352.724976,183
53,TP,1391.849976,185
54,BUY,1346.324951,186
55,TP,1392.824951,195
56,BUY,1395.949951,196
57,TP,1411.949951,198
58,BUY,1422.800049,199
59,TP,1439.224976,204
60,BUY,1437.574951,205
61,TP,1466.0,210
62,BUY,1484.125,211
63,TP,1532.900024,213
64,BUY,1568.425049,214
65,TP,1587.824951,216
66,BUY,1569.875,217
67,TP,1601.349976,219
68,BUY,1683.449951,220
69,TP,1683.449951,221
70,BUY,1699.425049,222
71,TP,1699.425049,223
72,BUY,1648.125,224
73,SL,1576.074951,464
74,BUY,1551.675049,465
75,TP,1618.449951,467
76,BUY,1636.025024,468
77,TP,1668.349976,470
78,BUY,1675.224976,471
79,TP,1675.224976,472
80,BUY,1680.675049,473
81,TP,1716.4749760000002,475
82,BUY,1718.8499760000002,476
83,TP,1744.4749760000002,484
84,BUY,1727.5250239999998,485
85,TP,1769.949951,488
86,BUY,1737.75,489
87,TP,1776.699951,639
88,BUY,1812.2750239999998,640
89,TP,1812.2750239999998,641
90,BUY,1790.25,642
91,TP,1796.050049,644
92,BUY,1771.4749760000002,645
93,TP,1796.4749760000002,647
94,BUY,1854.175049,648
95,SL,1854.175049,649
96,BUY,1870.7750239999998,650
97,TP,1870.7750239999998,651
98,BUY,1834.800049,652
99,TP,1903.0999760000002,697
100,BUY,1917.0250239999998,698
101,TP,1917.0250239999998,699
102,BUY,1925.25,700
103,TP,1937.949951,703
104,BUY,1960.800049,704
105,TP,2053.899902,710
106,BUY,2029.449951,711
107,TP,2059.600098,713
108,BUY,2080.0,714
109,TP,2080.0,715
110,BUY,2125.25,716
111,SL,2144.125,732
112,BUY,2158.600098,733
113,TP,2158.600098,734
114,BUY,2170.324951,735
115,TP,2178.5,737
116,BUY,2185.100098,738
117,TP,2272.225098,755
118,BUY,2270.050049,756
119,TP,2307.649902,758
120,BUY,2318.125,759
121,TP,2372.949951,766
122,BUY,2348.625,767
123,TP,2378.975098,774
124,BUY,2441.149902,775
125,TP,2441.149902,776
126,BUY,2374.875,777
127,TP,2461.625,794
128,BUY,2434.600098,795
129,TP,2480.949951,847
130,BUY,2476.125,848
131,TP,2482.399902,868
132,BUY,2553.524902,869
133,TP,2553.524902,870
134,BUY,2512.199951,871
135,TP,2589.125,874
136,BUY,2567.125,875
137,TP,2604.449951,879
138,BUY,2671.050049,880
139,TP,2671.050049,881
140,BUY,2697.899902,882
141,TP,2697.899902,883
142,BUY,2656.524902,884
143,TP,2687.649902,887
144,BUY,2730.375,888
145,TP,2730.375,889
146,BUY,2712.524902,890
147,TP,2798.524902,903
148,BUY,2802.199951,904
149,TP,2802.199951,905
150,BUY,2859.100098,906
151,TP,2913.75,908
152,BUY,2902.550049,909
153,TP,2961.975098,912
154,BUY,2883.100098,913
155,TP,2996.649902,917
156,BUY,2955.225098,918
157,TP,3008.574951,921
158,BUY,3068.300049,922
159,TP,3068.300049,923
160,BUY,2988.274902,924
161,TP,3064.774902,932
162,BUY,3116.475098,933
163,TP,3116.475098,934
164,BUY,3149.875,935
165,TP,3149.875,936
166,BUY,3154.949951,937
167,TP,3191.425049,939
168,BUY,3178.875,940
169,TP,3202.824951,942
170,BUY,3266.350098,943
171,TP,3266.350098,944
172,BUY,3182.899902,945
173,TP,3271.100098,955
174,BUY,3228.699951,956
175,TP,3314.949951,967
176,BUY,3428.725098,968
177,TP,3428.725098,969
178,BUY,3386.725098,970
179,SL,3378.850098,1396
180,BUY,3451.0,1397
181,TP,3451.0,1398
182,BUY,3450.350098,1399
183,SL,3466.6999509999996,1401
184,BUY,3415.6999509999996,1402
185,TP,3467.0500490000004,1413
186,BUY,3450.399902,1414
187,TP,3519.25,1417
188,BUY,3545.9499509999996,1418
189,TP,3624.4499509999996,1422
190,BUY,3685.0,1423
191,TP,3685.0,1424
192,BUY,3726.649902,1425
193,TP,3726.649902,1426
194,BUY,3735.25,1427
195,TP,3854.75,1430
196,BUY,3880.399902,1432
197,SL,3934.8000490000004,1446
198,BUY,3879.5500490000004,1447
